GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
1500000US360593040023,"Block Group 3, Census Tract 3040.02, Nassau County, New York",887,459,541,201,317,103,128,164,0,12,96,87,0,12,0,12,0,12,0,12,0,12,346,435,338,434,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595216012,"Block Group 2, Census Tract 5216.01, Nassau County, New York",818,192,817,192,817,192,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,1,2,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594087005,"Block Group 5, Census Tract 4087, Nassau County, New York",1210,335,1103,303,727,271,0,12,0,12,284,235,0,12,71,103,21,26,0,12,21,26,107,95,0,12,0,12,0,12,0,12,0,12,107,95,0,12,0,12,0,12
1500000US360595210003,"Block Group 3, Census Tract 5210, Nassau County, New York",1179,314,1179,314,1088,318,0,12,0,12,37,34,0,12,0,12,54,65,0,12,54,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593013005,"Block Group 5, Census Tract 3013, Nassau County, New York",360,167,303,158,193,124,59,92,0,12,51,60,0,12,0,12,0,12,0,12,0,12,57,65,57,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593012003,"Block Group 3, Census Tract 3012, Nassau County, New York",1065,154,872,129,705,91,11,18,0,12,142,87,0,12,2,3,12,13,0,12,12,13,193,103,180,100,0,12,0,12,0,12,0,12,13,22,0,12,0,12,0,12
1500000US360594106006,"Block Group 6, Census Tract 4106, Nassau County, New York",1410,594,819,352,377,207,103,122,0,12,339,314,0,12,0,12,0,12,0,12,0,12,591,406,523,388,0,12,0,12,0,12,0,12,68,91,0,12,0,12,0,12
1500000US360594059003,"Block Group 3, Census Tract 4059, Nassau County, New York",572,170,508,134,417,127,55,77,0,12,36,58,0,12,0,12,0,12,0,12,0,12,64,90,53,84,0,12,0,12,0,12,0,12,11,25,0,12,0,12,0,12
1500000US360593020003,"Block Group 3, Census Tract 3020, Nassau County, New York",1766,252,1581,236,1368,200,3,4,0,12,152,89,0,12,31,42,27,28,18,26,9,10,185,137,93,101,0,12,0,12,0,12,0,12,55,87,37,58,37,58,0,12
1500000US360594091005,"Block Group 5, Census Tract 4091, Nassau County, New York",1174,296,945,295,889,335,0,12,0,12,28,111,0,12,0,12,28,45,0,12,28,45,229,142,93,93,0,12,0,12,0,12,0,12,108,114,28,44,0,12,28,44
1500000US360594135001,"Block Group 1, Census Tract 4135, Nassau County, New York",1655,462,878,371,720,357,57,89,0,12,31,47,29,40,0,12,41,58,41,58,0,12,777,568,567,505,0,12,0,12,0,12,0,12,19,31,191,285,0,12,191,285
1500000US360594049011,"Block Group 1, Census Tract 4049.01, Nassau County, New York",996,405,795,347,0,12,642,299,0,12,133,151,0,12,0,12,20,15,0,12,20,15,201,184,78,120,111,122,0,12,0,12,0,12,12,27,0,12,0,12,0,12
1500000US360594061003,"Block Group 3, Census Tract 4061, Nassau County, New York",1302,283,1125,255,829,206,210,180,0,12,61,40,0,12,0,12,25,28,14,19,11,11,177,165,94,123,0,12,0,12,0,12,0,12,67,107,16,23,5,8,11,16
1500000US360594065011,"Block Group 1, Census Tract 4065.01, Nassau County, New York",1538,477,1373,394,1373,394,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,165,159,70,103,0,12,0,12,0,12,0,12,95,121,0,12,0,12,0,12
1500000US360595218012,"Block Group 2, Census Tract 5218.01, Nassau County, New York",1083,241,852,193,825,200,0,12,0,12,0,12,0,12,0,12,27,42,27,42,0,12,231,238,178,217,0,12,0,12,0,12,0,12,0,12,53,83,53,83,0,12
1500000US360595200021,"Block Group 1, Census Tract 5200.02, Nassau County, New York",1096,267,1080,266,1074,267,0,12,0,12,0,12,0,12,0,12,6,11,0,12,6,11,16,26,8,13,0,12,0,12,0,12,0,12,0,12,8,13,0,12,8,13
1500000US360595178013,"Block Group 3, Census Tract 5178.01, Nassau County, New York",1295,154,1232,143,1154,148,0,12,0,12,65,34,0,12,6,6,7,9,0,12,7,9,63,32,60,31,0,12,0,12,0,12,0,12,3,5,0,12,0,12,0,12
1500000US360594103003,"Block Group 3, Census Tract 4103, Nassau County, New York",1597,372,1230,398,265,183,353,291,0,12,461,241,0,12,0,12,151,139,108,123,43,68,367,223,136,86,0,12,0,12,0,12,0,12,231,197,0,12,0,12,0,12
1500000US360593033023,"Block Group 3, Census Tract 3033.02, Nassau County, New York",852,236,700,216,595,200,42,65,0,12,23,38,0,12,23,35,17,26,0,12,17,26,152,140,123,103,0,12,0,12,0,12,0,12,29,45,0,12,0,12,0,12
1500000US360594049021,"Block Group 1, Census Tract 4049.02, Nassau County, New York",3517,730,2722,702,350,118,2006,733,0,12,207,141,0,12,14,22,145,163,0,12,145,163,795,452,38,46,0,12,0,12,11,18,0,12,572,403,174,178,26,41,148,182
1500000US360594071021,"Block Group 1, Census Tract 4071.02, Nassau County, New York",2442,887,1097,627,30,40,1042,622,0,12,0,12,0,12,0,12,25,41,0,12,25,41,1345,752,326,333,83,81,0,12,0,12,0,12,928,695,8,14,0,12,8,14
1500000US360594130013,"Block Group 3, Census Tract 4130.01, Nassau County, New York",1312,365,1272,350,1164,331,80,127,0,12,28,47,0,12,0,12,0,12,0,12,0,12,40,54,38,54,0,12,0,12,0,12,0,12,2,4,0,12,0,12,0,12
1500000US360595182032,"Block Group 2, Census Tract 5182.03, Nassau County, New York",906,228,891,225,837,224,13,12,0,12,37,51,0,12,0,12,4,7,0,12,4,7,15,17,0,12,0,12,0,12,0,12,0,12,11,14,4,10,4,10,0,12
1500000US360594051001,"Block Group 1, Census Tract 4051, Nassau County, New York",803,382,803,382,158,92,522,417,0,12,123,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595213011,"Block Group 1, Census Tract 5213.01, Nassau County, New York",730,138,651,139,639,137,5,7,0,12,7,10,0,12,0,12,0,12,0,12,0,12,79,60,79,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594113023,"Block Group 3, Census Tract 4113.02, Nassau County, New York",913,306,843,296,842,297,0,12,0,12,1,3,0,12,0,12,0,12,0,12,0,12,70,95,70,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595171011,"Block Group 1, Census Tract 5171.01, Nassau County, New York",1139,279,966,271,837,248,24,35,0,12,0,12,0,12,105,159,0,12,0,12,0,12,173,107,106,74,0,12,0,12,0,12,0,12,67,96,0,12,0,12,0,12
1500000US360595211005,"Block Group 5, Census Tract 5211, Nassau County, New York",657,159,647,159,647,159,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594079004,"Block Group 4, Census Tract 4079, Nassau County, New York",1082,399,1055,391,536,190,373,324,0,12,99,86,0,12,0,12,47,53,0,12,47,53,27,36,27,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594067022,"Block Group 2, Census Tract 4067.02, Nassau County, New York",1181,320,1096,304,599,193,418,209,0,12,64,49,0,12,0,12,15,25,0,12,15,25,85,74,8,13,0,12,0,12,0,12,0,12,77,73,0,12,0,12,0,12
1500000US360594051006,"Block Group 6, Census Tract 4051, Nassau County, New York",1040,341,934,333,24,30,776,330,0,12,24,43,0,12,89,154,21,35,0,12,21,35,106,127,12,21,0,12,22,37,0,12,0,12,72,97,0,12,0,12,0,12
1500000US360594064006,"Block Group 6, Census Tract 4064, Nassau County, New York",1157,310,1140,309,1107,306,0,12,0,12,0,12,0,12,0,12,33,36,0,12,33,36,17,30,17,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594053025,"Block Group 5, Census Tract 4053.02, Nassau County, New York",1212,353,849,215,773,194,11,17,0,12,56,71,0,12,0,12,9,17,0,12,9,17,363,251,164,121,0,12,0,12,0,12,0,12,199,242,0,12,0,12,0,12
1500000US360594100002,"Block Group 2, Census Tract 4100, Nassau County, New York",1609,358,1375,303,280,133,341,179,25,35,510,219,0,12,8,12,211,189,202,193,9,16,234,155,107,116,10,15,0,12,0,12,0,12,104,107,13,23,0,12,13,23
1500000US360594105006,"Block Group 6, Census Tract 4105, Nassau County, New York",1146,385,877,339,379,199,112,167,0,12,280,235,0,12,54,108,52,87,0,12,52,87,269,174,190,177,17,31,0,12,0,12,0,12,16,32,46,75,46,75,0,12
1500000US360595205023,"Block Group 3, Census Tract 5205.02, Nassau County, New York",1284,254,1246,247,1220,248,0,12,0,12,26,41,0,12,0,12,0,12,0,12,0,12,38,45,38,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595187005,"Block Group 5, Census Tract 5187, Nassau County, New York",930,273,845,225,333,129,9,15,0,12,503,219,0,12,0,12,0,12,0,12,0,12,85,112,11,16,0,12,55,81,0,12,0,12,19,29,0,12,0,12,0,12
1500000US360593011011,"Block Group 1, Census Tract 3011.01, Nassau County, New York",2726,469,2237,464,1427,405,0,12,23,33,787,496,0,12,0,12,0,12,0,12,0,12,489,321,420,302,0,12,0,12,0,12,0,12,69,96,0,12,0,12,0,12
1500000US360594101006,"Block Group 6, Census Tract 4101, Nassau County, New York",650,189,525,186,402,149,82,117,0,12,0,12,0,12,0,12,41,54,13,21,28,48,125,80,111,79,0,12,0,12,0,12,0,12,14,24,0,12,0,12,0,12
1500000US360593031023,"Block Group 3, Census Tract 3031.02, Nassau County, New York",1247,224,1161,237,443,137,0,12,0,12,652,241,0,12,52,85,14,21,0,12,14,21,86,65,86,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593003004,"Block Group 4, Census Tract 3003, Nassau County, New York",898,340,658,199,361,162,71,97,0,12,208,99,0,12,0,12,18,22,0,12,18,22,240,314,240,314,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593008004,"Block Group 4, Census Tract 3008, Nassau County, New York",1981,321,1710,339,1002,291,41,50,0,12,656,203,0,12,0,12,11,17,0,12,11,17,271,147,40,35,0,12,0,12,0,12,0,12,194,134,37,54,0,12,37,54
1500000US360594105002,"Block Group 2, Census Tract 4105, Nassau County, New York",965,378,634,287,310,159,246,228,0,12,24,37,0,12,0,12,54,59,0,12,54,59,331,288,257,288,0,12,0,12,0,12,0,12,74,107,0,12,0,12,0,12
1500000US360595210001,"Block Group 1, Census Tract 5210, Nassau County, New York",1190,228,1125,213,1118,209,0,12,0,12,0,12,0,12,0,12,7,12,0,12,7,12,65,75,44,67,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594053012,"Block Group 2, Census Tract 4053.01, Nassau County, New York",967,271,955,273,871,246,0,12,0,12,0,12,0,12,0,12,84,101,0,12,84,101,12,20,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594108002,"Block Group 2, Census Tract 4108, Nassau County, New York",952,235,834,207,542,192,73,89,0,12,195,145,0,12,24,35,0,12,0,12,0,12,118,130,38,58,0,12,0,12,0,12,0,12,80,122,0,12,0,12,0,12
